Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-01-29,25.047169272964066,25.047169272964066,24.922556490511507,25.029367446899414,1003200,29,4,4,1,1993
1993-02-01,25.04717147552361,25.207387924194336,25.04717147552361,25.207387924194336,480500,1,0,5,2,1993
1993-02-02,25.189590178550844,25.27859933112523,25.13618468700621,25.26079750061035,201300,2,1,5,2,1993
1993-02-03,25.296383599689648,25.545609053873783,25.27858178153364,25.527807235717773,529400,3,2,5,2,1993
1993-02-04,25.616828376717038,25.688035682837167,25.331999152236513,25.63463020324707,531500,4,3,5,2,1993
1993-02-05,25.616830825805664,25.670236310501576,25.4744161999499,25.616830825805664,492100,5,4,5,2,1993
1993-02-08,25.616830825805664,25.705839966965517,25.581227169341723,25.616830825805664,596100,8,0,6,2,1993
1993-02-09,25.527815653945787,25.527815653945787,25.385401061734093,25.438806533813477,122100,9,1,6,2,1993
1993-02-10,25.438803552165055,25.492209017984855,25.36759626440532,25.474407196044922,379600,10,2,6,2,1993
1993-02-11,25.510018497249515,25.70583859736797,25.510018497249515,25.599027633666992,19500,11,3,6,2,1993
1993-02-12,25.563424226029735,25.563424226029735,25.403207778930664,25.403207778930664,42500,12,4,6,2,1993
1993-02-16,25.331998990989263,25.331998990989263,24.72673689282086,24.762340545654297,374800,16,1,7,2,1993
1993-02-17,24.762350631274764,24.79795429860945,24.655539629270702,24.744548797607422,210900,17,2,7,2,1993
1993-02-18,25.02937676118723,25.02937676118723,24.388510784371626,24.72674560546875,378100,18,3,7,2,1993
1993-02-19,24.726739074783655,24.81574821472168,24.691135418808443,24.81574821472168,34900,19,4,7,2,1993
1993-02-22,24.886950906640383,24.940356380688968,24.815743607908935,24.904752731323242,513600,22,0,8,2,1993
1993-02-23,24.97596631438947,24.993768143551545,24.762344364444584,24.8869571685791,373700,23,1,8,2,1993
1993-02-24,24.904756854482965,25.207387924194336,24.904756854482965,25.207387924194336,26300,24,2,8,2,1993
1993-02-25,25.189590178550844,25.27859933112523,25.13618468700621,25.26079750061035,44500,25,3,8,2,1993
1993-02-26,25.314190447791876,25.314190447791876,25.17177587424593,25.296388626098633,66200,26,4,8,2,1993
1993-03-01,25.385407573670335,25.385407573670335,25.18958745914693,25.225191116333008,66500,1,0,9,3,1993
1993-03-02,25.242991087997076,25.599027633666992,25.207387433430085,25.599027633666992,182400,2,1,9,3,1993
1993-03-03,25.63463565055023,25.72364480211464,25.599031989924466,25.705842971801758,280100,3,2,9,3,1993
1993-03-04,25.741445265108496,25.741445265108496,25.563426971435547,25.563426971435547,89500,4,3,9,3,1993
1993-03-05,25.599025156244885,25.705836109608914,25.47441237732019,25.49221420288086,40000,5,4,9,3,1993
1993-03-08,25.545621413350755,26.061874389648438,25.545621413350755,26.061874389648438,50800,8,0,10,3,1993
1993-03-09,26.00846207313459,26.026263895224346,25.919452962685806,25.972858428955078,169300,9,1,10,3,1993
1993-03-10,25.972862530667868,26.026268005371094,25.866051581261424,26.026268005371094,194400,10,2,10,3,1993
1993-03-11,26.044064342566806,26.115271627167125,25.919451594516246,25.955055236816406,70900,11,3,10,3,1993
1993-03-12,25.741445267770494,25.759247097139628,25.527823315340864,25.688039779663086,643600,12,4,10,3,1993
1993-03-15,25.670249333874935,25.812664031982422,25.670249333874935,25.812664031982422,310800,15,0,11,3,1993
1993-03-16,25.812664031982422,25.88387138103617,25.812664031982422,25.812664031982422,30800,16,1,11,3,1993
1993-03-17,25.7770500209578,25.7770500209578,25.616833549833064,25.652437210083008,21800,17,2,11,3,1993
1993-03-18,25.759258520192116,25.91947505556304,25.759258520192116,25.812664031982422,59300,18,3,11,3,1993
1993-03-19,25.916685005097982,25.916685005097982,25.773597717285156,25.773597717285156,66900,19,4,11,3,1993
1993-03-22,25.523179669856027,25.684152772188686,25.505293769596843,25.630495071411133,183400,22,0,12,3,1993
1993-03-23,25.702049955352102,25.719935863462997,25.648392231019425,25.68416404724121,55200,23,1,12,3,1993
1993-03-24,25.648392231019425,25.791479495906565,25.52319087424318,25.68416404724121,37200,24,2,12,3,1993
1993-03-25,25.7020474839788,25.898792454280656,25.666275671196644,25.845134735107422,110100,25,3,12,3,1993
1993-03-26,25.827267858495958,25.845153778065555,25.684180501939192,25.70206642150879,101500,26,4,12,3,1993
1993-03-29,25.71993478205331,25.93456567035974,25.71993478205331,25.809364318847656,87100,29,0,13,3,1993
1993-03-30,25.845127626378204,25.88089942932129,25.809355823435123,25.88089942932129,56000,30,1,13,3,1993
1993-03-31,25.952449472778238,26.023993096410983,25.863019943237305,25.863019943237305,111600,31,2,13,3,1993
1993-04-01,25.89879909412138,25.89879909412138,25.71993998435535,25.773597717285156,129500,1,3,13,4,1993
1993-04-02,25.55895723306398,25.55895723306398,25.237010955810547,25.237010955810547,59400,2,4,13,4,1993
1993-04-05,25.433754841598706,25.433754841598706,25.290667613235282,25.362211227416992,172200,5,0,14,4,1993
1993-04-06,25.41586981669511,25.41586981669511,25.21912487089381,25.290668487548828,129700,6,1,14,4,1993
1993-04-07,25.326450146277914,25.380107879638672,25.272792412917156,25.380107879638672,28000,7,2,14,4,1993
1993-04-08,25.487411333459654,25.487411333459654,25.237008695797595,25.344324111938477,180800,8,3,14,4,1993
1993-04-12,25.594750904091217,25.719952341078386,25.558979064952023,25.70206642150879,348500,12,0,15,4,1993
1993-04-13,25.6841593530443,25.845132496621876,25.666273448202347,25.75570297241211,146100,13,1,15,4,1993
1993-04-14,25.773580716946192,25.7914666161252,25.702037120230173,25.71992301940918,119600,14,2,15,4,1993
1993-04-15,25.702037120230173,25.773580716946192,25.612607624335148,25.71992301940918,148600,15,3,15,4,1993
1993-04-16,25.737808918588183,25.773580716946192,25.68415122105117,25.71992301940918,47900,16,4,15,4,1993
1993-04-19,25.719919521715386,25.79146310870208,25.59471824448868,25.61260414123535,157000,19,0,16,4,1993
1993-04-20,25.57685058326052,25.612622402258086,25.32644785027755,25.4874210357666,279500,20,1,16,4,1993
1993-04-21,25.541079467601993,25.541079467601993,25.39799218767145,25.46953582763672,67900,21,2,16,4,1993
1993-04-22,25.36220617823377,25.57683697804957,25.14757537841797,25.14757537841797,97700,22,3,16,4,1993
1993-04-23,25.093929484231133,25.16547311782837,25.004499942234585,25.040271759033203,106000,23,4,16,4,1993
1993-04-26,25.05816543694449,25.147595006669487,24.771990813824495,24.843534469604492,62600,26,0,17,4,1993
1993-04-27,24.80773710864901,25.111797332763672,24.80773710864901,25.111797332763672,156800,27,1,17,4,1993
1993-04-28,25.07603524022235,25.129692947583738,25.02237753286096,25.058149337768555,85900,28,2,17,4,1993
1993-04-29,25.11180288806907,25.16546058654785,24.96871569212566,25.16546058654785,85000,29,3,17,4,1993
1993-04-30,25.254892521161743,25.344322027256506,25.201234817504883,25.201234817504883,88500,30,4,17,4,1993
1993-05-03,25.237009902599,25.362211227416992,25.12969448132643,25.362211227416992,80500,3,0,18,5,1993
1993-05-04,25.415867370530407,25.541068687626616,25.380095565645775,25.45163917541504,149100,4,1,18,5,1993
1993-05-05,25.451642111956698,25.612615252510185,25.451642111956698,25.52318572998047,109000,5,2,18,5,1993
1993-05-06,25.487411676076896,25.50529757900748,25.415868064354576,25.433753967285156,54700,6,3,18,5,1993
1993-05-07,25.451651524119683,25.451651524119683,25.344336057398166,25.380107879638672,68000,7,4,18,5,1993
1993-05-10,25.415868064354576,25.576841190729798,25.415868064354576,25.433753967285156,113900,10,0,19,5,1993
1993-05-11,25.433757413335208,25.541072845458984,25.362213791919356,25.541072845458984,42600,11,1,19,5,1993
1993-05-12,25.433741685886034,25.523171157355396,25.433741685886034,25.505285263061523,31000,12,2,19,5,1993
1993-05-13,25.397979730913367,25.397979730913367,25.18334891628593,25.201234817504883,129100,13,3,19,5,1993
1993-05-14,25.201235511086203,25.27277911793102,25.165463707663797,25.183349609375,63500,14,4,19,5,1993
1993-05-17,25.254891656766272,25.272777557373047,25.147576253125624,25.272777557373047,34000,17,0,20,5,1993
1993-05-18,25.29065460118626,25.308540495529392,25.16545334078435,25.2548828125,105200,18,1,20,5,1993
1993-05-19,25.254906298963665,25.773597717285156,25.093933100174237,25.773597717285156,50200,19,2,20,5,1993
1993-05-20,25.773591109543112,25.845134735107422,25.719933390369878,25.845134735107422,98200,20,3,20,5,1993
1993-05-21,25.863006695688767,25.898778489182114,25.59471824448868,25.61260414123535,221400,21,4,20,5,1993
1993-05-24,25.666265321872164,25.809352515304205,25.666265321872164,25.71992301940918,30500,24,0,21,5,1993
1993-05-25,25.827255450214967,25.827255450214967,25.773597717285156,25.773597717285156,191800,25,1,21,5,1993
1993-05-26,25.845126942300567,26.113415457272545,25.827241041302436,26.095529556274414,102400,26,2,21,5,1993
1993-05-27,26.131312505415085,26.131312505415085,25.970339327763657,26.00611114501953,53800,27,3,21,5,1993
1993-05-28,25.98821483815054,25.98821483815054,25.755698119020494,25.88089942932129,79100,28,4,21,5,1993
1993-06-01,25.97034014128072,26.220742869915657,25.9345683229043,26.13131332397461,28300,1,1,22,6,1993
1993-06-02,26.05975775427815,26.184959061265072,25.952442348289356,26.095529556274414,20300,2,2,22,6,1993
1993-06-03,26.041882962275402,26.041882962275402,25.952453419135722,26.00611114501953,21600,3,3,22,6,1993
1993-06-04,25.93456528942037,25.93456528942037,25.809363939747307,25.91667938232422,32000,4,4,22,6,1993
1993-06-07,25.970340617805967,25.970340617805967,25.827253341674805,25.827253341674805,121400,7,0,23,6,1993
1993-06-08,25.75569968553459,25.75569968553459,25.5947265625,25.5947265625,104500,8,1,23,6,1993
1993-06-09,25.68416404724121,25.791479495906565,25.648392231019425,25.68416404724121,43300,9,2,23,6,1993
1993-06-10,25.6662945823696,25.719952341078386,25.61263682366081,25.70206642150879,17900,10,3,23,6,1993
