,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,changepoint_range,mse
87,0.01,0.5,0.01,multiplicative,0.95,0.0462540416765518
88,0.01,0.5,0.1,additive,0.8,0.08317076609120223
89,0.01,0.5,0.1,additive,0.85,0.052742973771880225
90,0.01,0.5,0.1,additive,0.9,0.049267013141258045
91,0.01,0.5,0.1,additive,0.95,0.047399645799481374
92,0.01,0.5,0.1,multiplicative,0.8,0.08536434269126486
93,0.01,0.5,0.1,multiplicative,0.85,0.052516955515332094
94,0.01,0.5,0.1,multiplicative,0.9,0.04970285631484528
95,0.01,0.5,0.1,multiplicative,0.95,0.0462540416765518
96,0.01,0.5,0.5,additive,0.8,0.08317076609120223
97,0.01,0.5,0.5,additive,0.85,0.052742973771880225
98,0.01,0.5,0.5,additive,0.9,0.049267013141258045
99,0.01,0.5,0.5,additive,0.95,0.047399645799481374
100,0.01,0.5,0.5,multiplicative,0.8,0.08536434269126486
101,0.01,0.5,0.5,multiplicative,0.85,0.052516955515332094
102,0.01,0.5,0.5,multiplicative,0.9,0.04970285631484528
103,0.01,0.5,0.5,multiplicative,0.95,0.0462540416765518
104,0.01,0.5,1.0,additive,0.8,0.08317076609120223
105,0.01,0.5,1.0,additive,0.85,0.052742973771880225
106,0.01,0.5,1.0,additive,0.9,0.049267013141258045
107,0.01,0.5,1.0,additive,0.95,0.047399645799481374
108,0.01,0.5,1.0,multiplicative,0.8,0.08536434269126486
109,0.01,0.5,1.0,multiplicative,0.85,0.052516955515332094
110,0.01,0.5,1.0,multiplicative,0.9,0.04970285631484528
111,0.01,0.5,1.0,multiplicative,0.95,0.0462540416765518
112,0.01,0.5,10.0,additive,0.8,0.08317076609120223
113,0.01,0.5,10.0,additive,0.85,0.052742973771880225
114,0.01,0.5,10.0,additive,0.9,0.049267013141258045
115,0.01,0.5,10.0,additive,0.95,0.047399645799481374
116,0.01,0.5,10.0,multiplicative,0.8,0.08536434269126486
117,0.01,0.5,10.0,multiplicative,0.85,0.052516955515332094
118,0.01,0.5,10.0,multiplicative,0.9,0.04970285631484528
119,0.01,0.5,10.0,multiplicative,0.95,0.0462540416765518
120,0.01,1.0,0.01,additive,0.8,0.08291882307064156
121,0.01,1.0,0.01,additive,0.85,0.053956742312509014
122,0.01,1.0,0.01,additive,0.9,0.050552660785362406
123,0.01,1.0,0.01,additive,0.95,0.04593521555970949
124,0.01,1.0,0.01,multiplicative,0.8,0.08174308792590128
125,0.01,1.0,0.01,multiplicative,0.85,0.05239477957090229
126,0.01,1.0,0.01,multiplicative,0.9,0.04886474346251871
127,0.01,1.0,0.01,multiplicative,0.95,0.048722570144398604
128,0.01,1.0,0.1,additive,0.8,0.08291882307064156
129,0.01,1.0,0.1,additive,0.85,0.053956742312509014
130,0.01,1.0,0.1,additive,0.9,0.050552660785362406
131,0.01,1.0,0.1,additive,0.95,0.04593521555970949
132,0.01,1.0,0.1,multiplicative,0.8,0.08174308792590128
133,0.01,1.0,0.1,multiplicative,0.85,0.05239477957090229
134,0.01,1.0,0.1,multiplicative,0.9,0.04886474346251871
135,0.01,1.0,0.1,multiplicative,0.95,0.048722570144398604
136,0.01,1.0,0.5,additive,0.8,0.08291882307064156
137,0.01,1.0,0.5,additive,0.85,0.053956742312509014
138,0.01,1.0,0.5,additive,0.9,0.050552660785362406
139,0.01,1.0,0.5,additive,0.95,0.04593521555970949
140,0.01,1.0,0.5,multiplicative,0.8,0.08174308792590128
141,0.01,1.0,0.5,multiplicative,0.85,0.05239477957090229
142,0.01,1.0,0.5,multiplicative,0.9,0.04886474346251871
143,0.01,1.0,0.5,multiplicative,0.95,0.048722570144398604
144,0.01,1.0,1.0,additive,0.8,0.08291882307064156
145,0.01,1.0,1.0,additive,0.85,0.053956742312509014
146,0.01,1.0,1.0,additive,0.9,0.050552660785362406
147,0.01,1.0,1.0,additive,0.95,0.04593521555970949
148,0.01,1.0,1.0,multiplicative,0.8,0.08174308792590128
149,0.01,1.0,1.0,multiplicative,0.85,0.05239477957090229
150,0.01,1.0,1.0,multiplicative,0.9,0.04886474346251871
151,0.01,1.0,1.0,multiplicative,0.95,0.048722570144398604
152,0.01,1.0,10.0,additive,0.8,0.08291882307064156
153,0.01,1.0,10.0,additive,0.85,0.053956742312509014
