,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,changepoint_range,mse
436,0.1,0.5,10.0,multiplicative,0.8,0.04885725545344459
437,0.1,0.5,10.0,multiplicative,0.85,0.027560629919293467
438,0.1,0.5,10.0,multiplicative,0.9,0.04827256751784392
439,0.1,0.5,10.0,multiplicative,0.95,0.03247405146233764
440,0.1,1.0,0.01,additive,0.8,0.047763491551859015
441,0.1,1.0,0.01,additive,0.85,0.027135662885699564
442,0.1,1.0,0.01,additive,0.9,0.047698749253549076
443,0.1,1.0,0.01,additive,0.95,0.03249239812262311
444,0.1,1.0,0.01,multiplicative,0.8,0.048051460733118084
445,0.1,1.0,0.01,multiplicative,0.85,0.027568297822448466
446,0.1,1.0,0.01,multiplicative,0.9,0.04813626882643104
447,0.1,1.0,0.01,multiplicative,0.95,0.03303384232438074
448,0.1,1.0,0.1,additive,0.8,0.047763491551859015
449,0.1,1.0,0.1,additive,0.85,0.027135662885699564
450,0.1,1.0,0.1,additive,0.9,0.047698749253549076
451,0.1,1.0,0.1,additive,0.95,0.03249239812262311
452,0.1,1.0,0.1,multiplicative,0.8,0.048051460733118084
453,0.1,1.0,0.1,multiplicative,0.85,0.027568297822448466
454,0.1,1.0,0.1,multiplicative,0.9,0.04813626882643104
455,0.1,1.0,0.1,multiplicative,0.95,0.03303384232438074
456,0.1,1.0,0.5,additive,0.8,0.047763491551859015
457,0.1,1.0,0.5,additive,0.85,0.027135662885699564
458,0.1,1.0,0.5,additive,0.9,0.047698749253549076
459,0.1,1.0,0.5,additive,0.95,0.03249239812262311
460,0.1,1.0,0.5,multiplicative,0.8,0.048051460733118084
461,0.1,1.0,0.5,multiplicative,0.85,0.027568297822448466
462,0.1,1.0,0.5,multiplicative,0.9,0.04813626882643104
463,0.1,1.0,0.5,multiplicative,0.95,0.03303384232438074
464,0.1,1.0,1.0,additive,0.8,0.047763491551859015
465,0.1,1.0,1.0,additive,0.85,0.027135662885699564
466,0.1,1.0,1.0,additive,0.9,0.047698749253549076
467,0.1,1.0,1.0,additive,0.95,0.03249239812262311
468,0.1,1.0,1.0,multiplicative,0.8,0.048051460733118084
469,0.1,1.0,1.0,multiplicative,0.85,0.027568297822448466
470,0.1,1.0,1.0,multiplicative,0.9,0.04813626882643104
471,0.1,1.0,1.0,multiplicative,0.95,0.03303384232438074
472,0.1,1.0,10.0,additive,0.8,0.047763491551859015
473,0.1,1.0,10.0,additive,0.85,0.027135662885699564
474,0.1,1.0,10.0,additive,0.9,0.047698749253549076
475,0.1,1.0,10.0,additive,0.95,0.03249239812262311
476,0.1,1.0,10.0,multiplicative,0.8,0.048051460733118084
477,0.1,1.0,10.0,multiplicative,0.85,0.027568297822448466
478,0.1,1.0,10.0,multiplicative,0.9,0.04813626882643104
479,0.1,1.0,10.0,multiplicative,0.95,0.03303384232438074
480,0.5,0.01,0.01,additive,0.8,0.04317098495256999
481,0.5,0.01,0.01,additive,0.85,0.027124791874870442
482,0.5,0.01,0.01,additive,0.9,0.053741530717055536
483,0.5,0.01,0.01,additive,0.95,0.0329708480127402
484,0.5,0.01,0.01,multiplicative,0.8,0.04371565296109067
485,0.5,0.01,0.01,multiplicative,0.85,0.027296824479533792
486,0.5,0.01,0.01,multiplicative,0.9,0.05419557460678929
487,0.5,0.01,0.01,multiplicative,0.95,0.03313084359281215
488,0.5,0.01,0.1,additive,0.8,0.04317098495256999
489,0.5,0.01,0.1,additive,0.85,0.027124791874870442
490,0.5,0.01,0.1,additive,0.9,0.053741530717055536
491,0.5,0.01,0.1,additive,0.95,0.0329708480127402
492,0.5,0.01,0.1,multiplicative,0.8,0.04371565296109067
493,0.5,0.01,0.1,multiplicative,0.85,0.027296824479533792
494,0.5,0.01,0.1,multiplicative,0.9,0.05419557460678929
495,0.5,0.01,0.1,multiplicative,0.95,0.03313084359281215
496,0.5,0.01,0.5,additive,0.8,0.04317098495256999
497,0.5,0.01,0.5,additive,0.85,0.027124791874870442
498,0.5,0.01,0.5,additive,0.9,0.053741530717055536
499,0.5,0.01,0.5,additive,0.95,0.0329708480127402
500,0.5,0.01,0.5,multiplicative,0.8,0.04371565296109067
501,0.5,0.01,0.5,multiplicative,0.85,0.027296824479533792
502,0.5,0.01,0.5,multiplicative,0.9,0.05419557460678929
503,0.5,0.01,0.5,multiplicative,0.95,0.03313084359281215
504,0.5,0.01,1.0,additive,0.8,0.04317098495256999
505,0.5,0.01,1.0,additive,0.85,0.027124791874870442
506,0.5,0.01,1.0,additive,0.9,0.053741530717055536
507,0.5,0.01,1.0,additive,0.95,0.0329708480127402
508,0.5,0.01,1.0,multiplicative,0.8,0.04371565296109067
509,0.5,0.01,1.0,multiplicative,0.85,0.027296824479533792
510,0.5,0.01,1.0,multiplicative,0.9,0.05419557460678929
511,0.5,0.01,1.0,multiplicative,0.95,0.03313084359281215
512,0.5,0.01,10.0,additive,0.8,0.04317098495256999
513,0.5,0.01,10.0,additive,0.85,0.027124791874870442
514,0.5,0.01,10.0,additive,0.9,0.053741530717055536
515,0.5,0.01,10.0,additive,0.95,0.0329708480127402
516,0.5,0.01,10.0,multiplicative,0.8,0.04371565296109067
517,0.5,0.01,10.0,multiplicative,0.85,0.027296824479533792
518,0.5,0.01,10.0,multiplicative,0.9,0.05419557460678929
519,0.5,0.01,10.0,multiplicative,0.95,0.03313084359281215
520,0.5,0.1,0.01,additive,0.8,0.04339508935682404
521,0.5,0.1,0.01,additive,0.85,0.027146597780921242
522,0.5,0.1,0.01,additive,0.9,0.053763779133278095
523,0.5,0.1,0.01,additive,0.95,0.03300660327483402
524,0.5,0.1,0.01,multiplicative,0.8,0.043659020814813335
525,0.5,0.1,0.01,multiplicative,0.85,0.02754218478857535
526,0.5,0.1,0.01,multiplicative,0.9,0.05458959699876412
527,0.5,0.1,0.01,multiplicative,0.95,0.033142372306421204
528,0.5,0.1,0.1,additive,0.8,0.04339508935682404
529,0.5,0.1,0.1,additive,0.85,0.027146597780921242
530,0.5,0.1,0.1,additive,0.9,0.053763779133278095
531,0.5,0.1,0.1,additive,0.95,0.03300660327483402
532,0.5,0.1,0.1,multiplicative,0.8,0.043659020814813335
533,0.5,0.1,0.1,multiplicative,0.85,0.02754218478857535
534,0.5,0.1,0.1,multiplicative,0.9,0.05458959699876412
535,0.5,0.1,0.1,multiplicative,0.95,0.033142372306421204
536,0.5,0.1,0.5,additive,0.8,0.04339508935682404
537,0.5,0.1,0.5,additive,0.85,0.027146597780921242
538,0.5,0.1,0.5,additive,0.9,0.053763779133278095
539,0.5,0.1,0.5,additive,0.95,0.03300660327483402
540,0.5,0.1,0.5,multiplicative,0.8,0.043659020814813335
541,0.5,0.1,0.5,multiplicative,0.85,0.02754218478857535
542,0.5,0.1,0.5,multiplicative,0.9,0.05458959699876412
543,0.5,0.1,0.5,multiplicative,0.95,0.033142372306421204
544,0.5,0.1,1.0,additive,0.8,0.04339508935682404
545,0.5,0.1,1.0,additive,0.85,0.027146597780921242
546,0.5,0.1,1.0,additive,0.9,0.053763779133278095
547,0.5,0.1,1.0,additive,0.95,0.03300660327483402
548,0.5,0.1,1.0,multiplicative,0.8,0.043659020814813335
549,0.5,0.1,1.0,multiplicative,0.85,0.02754218478857535
550,0.5,0.1,1.0,multiplicative,0.9,0.05458959699876412
551,0.5,0.1,1.0,multiplicative,0.95,0.033142372306421204
552,0.5,0.1,10.0,additive,0.8,0.04339508935682404
553,0.5,0.1,10.0,additive,0.85,0.027146597780921242
554,0.5,0.1,10.0,additive,0.9,0.053763779133278095
555,0.5,0.1,10.0,additive,0.95,0.03300660327483402
556,0.5,0.1,10.0,multiplicative,0.8,0.043659020814813335
557,0.5,0.1,10.0,multiplicative,0.85,0.02754218478857535
558,0.5,0.1,10.0,multiplicative,0.9,0.05458959699876412
559,0.5,0.1,10.0,multiplicative,0.95,0.033142372306421204
560,0.5,0.5,0.01,additive,0.8,0.04335070568908357
561,0.5,0.5,0.01,additive,0.85,0.02721042243966825
562,0.5,0.5,0.01,additive,0.9,0.05405768377093931
563,0.5,0.5,0.01,additive,0.95,0.032890953058286106
564,0.5,0.5,0.01,multiplicative,0.8,0.04368032861803852
565,0.5,0.5,0.01,multiplicative,0.85,0.027439540501606567
566,0.5,0.5,0.01,multiplicative,0.9,0.054751299809211215
567,0.5,0.5,0.01,multiplicative,0.95,0.03302636329243174
568,0.5,0.5,0.1,additive,0.8,0.04335070568908357
569,0.5,0.5,0.1,additive,0.85,0.02721042243966825
570,0.5,0.5,0.1,additive,0.9,0.05405768377093931
571,0.5,0.5,0.1,additive,0.95,0.032890953058286106
572,0.5,0.5,0.1,multiplicative,0.8,0.04368032861803852
573,0.5,0.5,0.1,multiplicative,0.85,0.027439540501606567
574,0.5,0.5,0.1,multiplicative,0.9,0.054751299809211215
575,0.5,0.5,0.1,multiplicative,0.95,0.03302636329243174
576,0.5,0.5,0.5,additive,0.8,0.04335070568908357
577,0.5,0.5,0.5,additive,0.85,0.02721042243966825
578,0.5,0.5,0.5,additive,0.9,0.05405768377093931
579,0.5,0.5,0.5,additive,0.95,0.032890953058286106
580,0.5,0.5,0.5,multiplicative,0.8,0.04368032861803852
581,0.5,0.5,0.5,multiplicative,0.85,0.027439540501606567
582,0.5,0.5,0.5,multiplicative,0.9,0.054751299809211215
583,0.5,0.5,0.5,multiplicative,0.95,0.03302636329243174
584,0.5,0.5,1.0,additive,0.8,0.04335070568908357
585,0.5,0.5,1.0,additive,0.85,0.02721042243966825
586,0.5,0.5,1.0,additive,0.9,0.05405768377093931
587,0.5,0.5,1.0,additive,0.95,0.032890953058286106
588,0.5,0.5,1.0,multiplicative,0.8,0.04368032861803852
589,0.5,0.5,1.0,multiplicative,0.85,0.027439540501606567
590,0.5,0.5,1.0,multiplicative,0.9,0.054751299809211215
591,0.5,0.5,1.0,multiplicative,0.95,0.03302636329243174
592,0.5,0.5,10.0,additive,0.8,0.04335070568908357
593,0.5,0.5,10.0,additive,0.85,0.02721042243966825
594,0.5,0.5,10.0,additive,0.9,0.05405768377093931
595,0.5,0.5,10.0,additive,0.95,0.032890953058286106
596,0.5,0.5,10.0,multiplicative,0.8,0.04368032861803852
597,0.5,0.5,10.0,multiplicative,0.85,0.027439540501606567
598,0.5,0.5,10.0,multiplicative,0.9,0.054751299809211215
599,0.5,0.5,10.0,multiplicative,0.95,0.03302636329243174
600,0.5,1.0,0.01,additive,0.8,0.04318229535247833
601,0.5,1.0,0.01,additive,0.85,0.02717345466262612
602,0.5,1.0,0.01,additive,0.9,0.05387977883824426
603,0.5,1.0,0.01,additive,0.95,0.03262358891160806
604,0.5,1.0,0.01,multiplicative,0.8,0.04355431883055728
605,0.5,1.0,0.01,multiplicative,0.85,0.027528270569426718
606,0.5,1.0,0.01,multiplicative,0.9,0.05472705992735089
607,0.5,1.0,0.01,multiplicative,0.95,0.033104363915604826
608,0.5,1.0,0.1,additive,0.8,0.04318229535247833
609,0.5,1.0,0.1,additive,0.85,0.02717345466262612
610,0.5,1.0,0.1,additive,0.9,0.05387977883824426
611,0.5,1.0,0.1,additive,0.95,0.03262358891160806
612,0.5,1.0,0.1,multiplicative,0.8,0.04355431883055728
613,0.5,1.0,0.1,multiplicative,0.85,0.027528270569426718
614,0.5,1.0,0.1,multiplicative,0.9,0.05472705992735089
615,0.5,1.0,0.1,multiplicative,0.95,0.033104363915604826
616,0.5,1.0,0.5,additive,0.8,0.04318229535247833
617,0.5,1.0,0.5,additive,0.85,0.02717345466262612
618,0.5,1.0,0.5,additive,0.9,0.05387977883824426
619,0.5,1.0,0.5,additive,0.95,0.03262358891160806
620,0.5,1.0,0.5,multiplicative,0.8,0.04355431883055728
621,0.5,1.0,0.5,multiplicative,0.85,0.027528270569426718
622,0.5,1.0,0.5,multiplicative,0.9,0.05472705992735089
623,0.5,1.0,0.5,multiplicative,0.95,0.033104363915604826
624,0.5,1.0,1.0,additive,0.8,0.04318229535247833
625,0.5,1.0,1.0,additive,0.85,0.02717345466262612
626,0.5,1.0,1.0,additive,0.9,0.05387977883824426
627,0.5,1.0,1.0,additive,0.95,0.03262358891160806
628,0.5,1.0,1.0,multiplicative,0.8,0.04355431883055728
629,0.5,1.0,1.0,multiplicative,0.85,0.027528270569426718
630,0.5,1.0,1.0,multiplicative,0.9,0.05472705992735089
631,0.5,1.0,1.0,multiplicative,0.95,0.033104363915604826
632,0.5,1.0,10.0,additive,0.8,0.04318229535247833
633,0.5,1.0,10.0,additive,0.85,0.02717345466262612
634,0.5,1.0,10.0,additive,0.9,0.05387977883824426
635,0.5,1.0,10.0,additive,0.95,0.03262358891160806
636,0.5,1.0,10.0,multiplicative,0.8,0.04355431883055728
637,0.5,1.0,10.0,multiplicative,0.85,0.027528270569426718
638,0.5,1.0,10.0,multiplicative,0.9,0.05472705992735089
639,0.5,1.0,10.0,multiplicative,0.95,0.033104363915604826
