,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,changepoint_range,mse
100,0.1,0.1,multiplicative,0.8,0.04365495073436687
101,0.1,0.1,multiplicative,0.85,0.028177696429074306
102,0.1,0.1,multiplicative,0.9,0.054719507248561734
103,0.1,0.1,multiplicative,0.95,0.03430921009345957
104,0.1,0.5,additive,0.8,0.043443349021504145
105,0.1,0.5,additive,0.85,0.027877321324847625
106,0.1,0.5,additive,0.9,0.05400874442748012
107,0.1,0.5,additive,0.95,0.03409436625394066
108,0.1,0.5,multiplicative,0.8,0.04359474288790946
109,0.1,0.5,multiplicative,0.85,0.02805970721505802
110,0.1,0.5,multiplicative,0.9,0.054708218710464135
111,0.1,0.5,multiplicative,0.95,0.03430141914532342
112,0.1,1.0,additive,0.8,0.04337217273598603
113,0.1,1.0,additive,0.85,0.02784248618676726
114,0.1,1.0,additive,0.9,0.054314983056536134
115,0.1,1.0,additive,0.95,0.03436686948431139
116,0.1,1.0,multiplicative,0.8,0.04359350313957135
117,0.1,1.0,multiplicative,0.85,0.02807364578163797
118,0.1,1.0,multiplicative,0.9,0.054808851471563634
119,0.1,1.0,multiplicative,0.95,0.03449099987690394
120,0.5,0.005,additive,0.8,0.042583322300850185
121,0.5,0.005,additive,0.85,0.027737679455655005
122,0.5,0.005,additive,0.9,0.05529678463499249
123,0.5,0.005,additive,0.95,0.034154296002652414
124,0.5,0.005,multiplicative,0.8,0.042797345638409943
125,0.5,0.005,multiplicative,0.85,0.02794200160487701
126,0.5,0.005,multiplicative,0.9,0.05583255400450582
127,0.5,0.005,multiplicative,0.95,0.03444598758601458
128,0.5,0.01,additive,0.8,0.042446051088025925
129,0.5,0.01,additive,0.85,0.02772865624396194
130,0.5,0.01,additive,0.9,0.05526432740057987
131,0.5,0.01,additive,0.95,0.03475233662815077
132,0.5,0.01,multiplicative,0.8,0.0427932991104412
133,0.5,0.01,multiplicative,0.85,0.02806528311432264
134,0.5,0.01,multiplicative,0.9,0.055650141349252585
135,0.5,0.01,multiplicative,0.95,0.035457396702843876
136,0.5,0.1,additive,0.8,0.04248947038999475
137,0.5,0.1,additive,0.85,0.027682539156664486
138,0.5,0.1,additive,0.9,0.05520945237165008
139,0.5,0.1,additive,0.95,0.03463167389775554
140,0.5,0.1,multiplicative,0.8,0.04283340327187237
141,0.5,0.1,multiplicative,0.85,0.028076062401517523
142,0.5,0.1,multiplicative,0.9,0.05571131666820166
143,0.5,0.1,multiplicative,0.95,0.03472180469303888
144,0.5,0.5,additive,0.8,0.04218370596092156
145,0.5,0.5,additive,0.85,0.027802292462283575
146,0.5,0.5,additive,0.9,0.055323278780326154
147,0.5,0.5,additive,0.95,0.03460488455084302
148,0.5,0.5,multiplicative,0.8,0.04275658870399652
149,0.5,0.5,multiplicative,0.85,0.028095018684424117
150,0.5,0.5,multiplicative,0.9,0.055723261557688884
151,0.5,0.5,multiplicative,0.95,0.034976272785267964
152,0.5,1.0,additive,0.8,0.042633924298750986
153,0.5,1.0,additive,0.85,0.027826577365501228
154,0.5,1.0,additive,0.9,0.05535631507344101
155,0.5,1.0,additive,0.95,0.034411324637206774
156,0.5,1.0,multiplicative,0.8,0.0425579188855138
157,0.5,1.0,multiplicative,0.85,0.02807333902986927
158,0.5,1.0,multiplicative,0.9,0.05585503686963841
159,0.5,1.0,multiplicative,0.95,0.034971342987608615
160,1.0,0.005,additive,0.8,0.04234569395772906
161,1.0,0.005,additive,0.85,0.027899775268704
162,1.0,0.005,additive,0.9,0.05553048886939374
163,1.0,0.005,additive,0.95,0.034745717026942395
164,1.0,0.005,multiplicative,0.8,0.0426322050276391
165,1.0,0.005,multiplicative,0.85,0.02801674420086508
166,1.0,0.005,multiplicative,0.9,0.055775003277787095
167,1.0,0.005,multiplicative,0.95,0.03538476359427449
168,1.0,0.01,additive,0.8,0.04226920267219761
169,1.0,0.01,additive,0.85,0.027725629589923927
170,1.0,0.01,additive,0.9,0.05525936937574606
171,1.0,0.01,additive,0.95,0.034546850496868536
172,1.0,0.01,multiplicative,0.8,0.04265309770999444
173,1.0,0.01,multiplicative,0.85,0.027988621325749516
174,1.0,0.01,multiplicative,0.9,0.0559077851428919
175,1.0,0.01,multiplicative,0.95,0.035170508938866016
176,1.0,0.1,additive,0.8,0.042220196348915995
177,1.0,0.1,additive,0.85,0.027791420686628012
178,1.0,0.1,additive,0.9,0.0553742456285707
179,1.0,0.1,additive,0.95,0.03476707585085216
180,1.0,0.1,multiplicative,0.8,0.04251351904542457
181,1.0,0.1,multiplicative,0.85,0.028148053182123014
182,1.0,0.1,multiplicative,0.9,0.0558145410918905
183,1.0,0.1,multiplicative,0.95,0.035177398501838146
184,1.0,0.5,additive,0.8,0.04245930014111912
185,1.0,0.5,additive,0.85,0.02770501979930454
186,1.0,0.5,additive,0.9,0.055358651426953176
187,1.0,0.5,additive,0.95,0.03458198557252374
188,1.0,0.5,multiplicative,0.8,0.042784736449036055
189,1.0,0.5,multiplicative,0.85,0.02808050771346394
190,1.0,0.5,multiplicative,0.9,0.055903577057382144
191,1.0,0.5,multiplicative,0.95,0.03491771938854827
192,1.0,1.0,additive,0.8,0.042402460022832676
193,1.0,1.0,additive,0.85,0.02773858457801179
194,1.0,1.0,additive,0.9,0.05587564493957246
195,1.0,1.0,additive,0.95,0.03454367281986699
196,1.0,1.0,multiplicative,0.8,0.04268991323074667
197,1.0,1.0,multiplicative,0.85,0.0279906368444381
198,1.0,1.0,multiplicative,0.9,0.05583746280990214
199,1.0,1.0,multiplicative,0.95,0.035199079990899024
