Order,Seasonal_Order,Score
"(0, 0, 1)","(2, 0, 0, 4)",0.004893765913139408
"(0, 0, 1)","(2, 0, 1, 4)",0.00485959074074927
"(0, 0, 1)","(2, 0, 2, 4)",0.0048017826423936965
"(0, 0, 1)","(2, 0, 3, 4)",0.005107049530354959
"(0, 0, 1)","(2, 1, 0, 4)",0.005277597761367736
"(0, 0, 1)","(2, 1, 1, 4)",0.005426010171452228
"(0, 0, 1)","(2, 1, 2, 4)",0.005524327007357346
"(0, 0, 1)","(2, 1, 3, 4)",0.005687338180171797
"(0, 0, 1)","(2, 2, 0, 4)",0.005107307261940144
"(0, 0, 1)","(2, 2, 1, 4)",0.00495441130628088
"(0, 0, 1)","(2, 2, 2, 4)",0.005134750922999953
"(0, 0, 1)","(2, 2, 3, 4)",0.004918944997794446
"(0, 0, 1)","(2, 3, 0, 4)",0.03187184097046777
"(0, 0, 1)","(2, 3, 1, 4)",0.017892429390515177
"(0, 0, 1)","(2, 3, 2, 4)",0.016921673063685798
"(0, 0, 1)","(2, 3, 3, 4)",0.016444758149455414
"(0, 0, 1)","(3, 0, 0, 4)",0.005205398958166784
"(0, 0, 1)","(3, 0, 1, 4)",0.005024777107857438
"(0, 0, 1)","(3, 0, 2, 4)",0.004967344063211887
"(0, 0, 1)","(3, 0, 3, 4)",0.004912315478024714
"(0, 0, 1)","(3, 1, 0, 4)",0.005563550591340819
"(0, 0, 1)","(3, 1, 1, 4)",0.005615113736627165
"(0, 0, 1)","(3, 1, 2, 4)",0.005582418148286692
"(0, 0, 1)","(3, 1, 3, 4)",0.004859605699585217
"(0, 0, 1)","(3, 2, 0, 4)",0.006637350551501928
"(0, 0, 1)","(3, 2, 1, 4)",0.00498265266484982
"(0, 0, 1)","(3, 2, 2, 4)",0.00445263739549442
"(0, 0, 1)","(3, 2, 3, 4)",0.005157807408711545
"(0, 0, 1)","(3, 3, 0, 4)",0.03179653171332863
"(0, 0, 1)","(3, 3, 1, 4)",0.007622513498516653
"(0, 0, 1)","(3, 3, 2, 4)",0.016000702073857342
"(0, 0, 1)","(3, 3, 3, 4)",0.016859441597414843
"(0, 0, 2)","(0, 0, 0, 4)",29.962441744742932
"(0, 0, 2)","(0, 0, 1, 4)",22.204475446913094
"(0, 0, 2)","(0, 0, 2, 4)",14.84857382251071
"(0, 0, 2)","(0, 0, 3, 4)",8.992625940865505
"(0, 0, 2)","(0, 1, 0, 4)",0.00497194175503392
"(0, 0, 2)","(0, 1, 1, 4)",0.0060876456526593094
"(0, 0, 2)","(0, 1, 2, 4)",0.005461366093451959
"(0, 0, 2)","(0, 1, 3, 4)",0.005009473598327002
"(0, 0, 2)","(0, 2, 0, 4)",0.012043882134654169
"(0, 0, 2)","(0, 2, 1, 4)",0.0049785028942758835
"(0, 0, 2)","(0, 2, 2, 4)",0.005724860844284969
"(0, 0, 2)","(0, 2, 3, 4)",0.005672313744596718
"(0, 0, 2)","(0, 3, 0, 4)",0.058378562034634096
"(0, 0, 2)","(0, 3, 1, 4)",0.015169026328603263
"(0, 0, 2)","(0, 3, 2, 4)",0.004563161478090041
"(0, 0, 2)","(0, 3, 3, 4)",0.010051355061548254
"(0, 0, 2)","(1, 0, 0, 4)",0.005066349615256299
"(0, 0, 2)","(1, 0, 1, 4)",0.00524213091178808
"(0, 0, 2)","(1, 0, 2, 4)",0.00511726111134483
"(0, 0, 2)","(1, 0, 3, 4)",0.004712115421801123
"(0, 0, 2)","(1, 1, 0, 4)",0.005299894425195938
"(0, 0, 2)","(1, 1, 1, 4)",0.005650549500997702
"(0, 0, 2)","(1, 1, 2, 4)",0.005664710174946059
"(0, 0, 2)","(1, 1, 3, 4)",0.005094292359633889
