Order,Seasonal_Order,MSE,AIC
"(1, 1, 0)","(1, 4, 4, 4)",1.8241269390979398,-8324.710807727399
"(1, 1, 0)","(2, 1, 1, 4)",0.009917068879447884,-9860.585209634464
"(1, 1, 0)","(2, 1, 2, 4)",0.010050999170285067,-9862.489812388456
"(1, 1, 0)","(2, 1, 3, 4)",0.010544811988603447,-9858.152618392978
"(1, 1, 0)","(2, 1, 4, 4)",0.010428932647028433,-9859.658886370911
"(1, 1, 0)","(2, 2, 1, 4)",0.07980121695726157,-9275.48550728306
"(1, 1, 0)","(2, 2, 2, 4)",0.04048009216364101,-9158.589109903462
"(1, 1, 0)","(2, 2, 3, 4)",0.01331474871149313,-9777.880279245452
"(1, 1, 0)","(2, 2, 4, 4)",0.02142748888312273,-9761.344426547399
"(1, 1, 0)","(2, 3, 1, 4)",2.720426512503112,-8153.173678714622
"(1, 1, 0)","(2, 3, 2, 4)",2.619229570551434,-8155.7328410498785
"(1, 1, 0)","(2, 3, 3, 4)",2.6433964778098025,-8150.2257581416225
"(1, 1, 0)","(2, 3, 4, 4)",0.441318776533679,-8668.392210361562
"(1, 1, 0)","(2, 4, 1, 4)",24.374553959946365,-7617.492058878124
"(1, 1, 0)","(2, 4, 2, 4)",31.863307739146173,-7548.927449654087
"(1, 1, 0)","(2, 4, 3, 4)",3.3465910135047485,-8057.9149582452055
"(1, 1, 0)","(2, 4, 4, 4)",1.9109194085556083,-8262.644329991646
"(1, 1, 0)","(3, 1, 1, 4)",0.010352467847475441,-9697.58995642938
"(1, 1, 0)","(3, 1, 2, 4)",0.010222737023536365,-9862.397686927015
"(1, 1, 0)","(3, 1, 3, 4)",0.010777555354308813,-9859.370236287663
"(1, 1, 0)","(3, 1, 4, 4)",0.009697014889414084,-9861.122680181343
"(1, 1, 0)","(3, 2, 1, 4)",0.19085516333898175,-9285.41049276706
"(1, 1, 0)","(3, 2, 2, 4)",0.08056701906697653,-9271.99537962592
"(1, 1, 0)","(3, 2, 3, 4)",0.10435029327386533,-9337.842843358882
"(1, 1, 0)","(3, 2, 4, 4)",0.036075426077659886,-9724.025349402005
"(1, 1, 0)","(3, 3, 1, 4)",2.0878604196770842,-7847.70533908807
"(1, 1, 0)","(3, 3, 2, 4)",2.550028261650489,-8155.084997981792
"(1, 1, 0)","(3, 3, 3, 4)",2.739976813895654,-8157.196058450875
"(1, 1, 0)","(3, 3, 4, 4)",2.14007310516146,-8244.089738360937
"(1, 1, 0)","(3, 4, 1, 4)",424.08062115483756,-7180.875958274164
"(1, 1, 0)","(3, 4, 2, 4)",23.64832826041006,-7588.878265774259
"(1, 1, 0)","(3, 4, 3, 4)",32.61359160766264,-7543.28395515561
"(1, 1, 0)","(3, 4, 4, 4)",14.37181400424644,-7735.107663776615
"(1, 1, 1)","(0, 1, 1, 4)",0.010313732508997451,-9862.762897449324
"(1, 1, 1)","(0, 1, 2, 4)",0.01067856504142084,-9860.86996221385
"(1, 1, 1)","(0, 1, 3, 4)",0.011201158276746597,-9859.745399315452
"(1, 1, 1)","(0, 1, 4, 4)",0.013309505414893933,-9856.44128332709
"(1, 1, 1)","(0, 2, 1, 4)",0.017530137572252837,-8732.221792962868
"(1, 1, 1)","(0, 2, 2, 4)",0.015796799141250796,-9769.430546091275
"(1, 1, 1)","(0, 2, 3, 4)",0.01566357918596161,-9767.325864326765
"(1, 1, 1)","(0, 2, 4, 4)",0.015099807799537587,-9764.544928114436
"(1, 1, 1)","(0, 3, 1, 4)",0.638819165776934,-7350.909842441962
"(1, 1, 1)","(0, 3, 2, 4)",0.3992294977114409,-8652.436841217559
"(1, 1, 1)","(0, 3, 3, 4)",0.3477056992761004,-8640.567382886322
"(1, 1, 1)","(0, 3, 4, 4)",0.24956058799319308,-8687.687182857404
"(1, 1, 1)","(0, 4, 1, 4)",15.57274281223095,-7123.475421440957
"(1, 1, 1)","(0, 4, 2, 4)",1.7744664685834919,-8369.370269865269
"(1, 1, 1)","(0, 4, 3, 4)",0.4179735063710167,-8219.10366778672
"(1, 1, 1)","(0, 4, 4, 4)",0.509030393379293,-8521.181902899794
"(1, 1, 1)","(1, 1, 1, 4)",0.010287051768299565,-9861.078866699532
"(1, 1, 1)","(1, 1, 2, 4)",0.009794058252710415,-9861.718471792377
"(1, 1, 1)","(1, 1, 3, 4)",0.009971228624640015,-9860.447230220107
"(1, 1, 1)","(1, 1, 4, 4)",0.010319395939233766,-9861.258144406698
"(1, 1, 1)","(1, 2, 1, 4)",0.013106261339521197,-9156.125031244359
"(1, 1, 1)","(1, 2, 2, 4)",0.023885626888075745,-9732.813517245979
"(1, 1, 1)","(1, 2, 3, 4)",0.014188284875666254,-9776.628352084708
"(1, 1, 1)","(1, 2, 4, 4)",0.010625676593068406,-9775.283177985155
"(1, 1, 1)","(1, 3, 1, 4)",1.6587172606090417,-8128.910989134645
"(1, 1, 1)","(1, 3, 2, 4)",2.496569349621164,-8143.356682968569
"(1, 1, 1)","(1, 3, 3, 4)",0.4274144409039592,-8639.337576820615
"(1, 1, 1)","(1, 3, 4, 4)",0.41571002016313746,-8654.753861700767
"(1, 1, 1)","(1, 4, 1, 4)",34.29414116766269,-7578.234724146174
"(1, 1, 1)","(1, 4, 2, 4)",1.4351793509614628,-8301.92401174811
"(1, 1, 1)","(1, 4, 3, 4)",1.7015520960322792,-8341.140558645502
"(1, 1, 1)","(1, 4, 4, 4)",1.6871700512720722,-8345.157972883037
"(1, 1, 1)","(2, 1, 1, 4)",0.010426638719744332,-9859.237769524636
"(1, 1, 1)","(2, 1, 2, 4)",0.010062515468299147,-9860.848042825522
"(1, 1, 1)","(2, 1, 3, 4)",0.010575520433837696,-9856.397235647037
"(1, 1, 1)","(2, 1, 4, 4)",0.010399936907008448,-9857.793988605645
"(1, 1, 1)","(2, 2, 1, 4)",0.08727321165636993,-9287.191039821684
"(1, 1, 1)","(2, 2, 2, 4)",0.09953546432809231,-9242.032823642698
"(1, 1, 1)","(2, 2, 3, 4)",0.013465474751487521,-9773.928918928843
"(1, 1, 1)","(2, 2, 4, 4)",0.012839425193809529,-9761.691752302873
"(1, 1, 1)","(2, 3, 1, 4)",2.6124270483178145,-8156.400350562547
"(1, 1, 1)","(2, 3, 2, 4)",2.602527277787704,-8153.65348607772
"(1, 1, 1)","(2, 3, 3, 4)",2.60415312571064,-8211.510090871894
"(1, 1, 1)","(2, 3, 4, 4)",0.45033094355034964,-8664.40332337646
"(1, 1, 1)","(2, 4, 1, 4)",24.994162142607482,-7620.3117530442105
"(1, 1, 1)","(2, 4, 2, 4)",31.79090421802362,-7547.559973786911
"(1, 1, 1)","(2, 4, 3, 4)",5.63034293822073,-7925.757169837563
"(1, 1, 1)","(2, 4, 4, 4)",1.9445085119842886,-8264.035553230677
"(1, 1, 1)","(3, 1, 1, 4)",0.009476041591509544,-9711.223238434193
"(1, 1, 1)","(3, 1, 2, 4)",0.01136236093353309,-9861.04631752753
"(1, 1, 1)","(3, 1, 3, 4)",0.010619531267599753,-9857.72330389787
"(1, 1, 1)","(3, 1, 4, 4)",0.009499381475971758,-9821.87506499294
"(1, 1, 1)","(3, 2, 1, 4)",0.13947401000917786,-9332.81685408427
"(1, 1, 1)","(3, 2, 2, 4)",0.07964964332003463,-9271.9039295735
"(1, 1, 1)","(3, 2, 3, 4)",0.09278451564686133,-9366.627404819392
"(1, 1, 1)","(3, 2, 4, 4)",0.013466640873899694,-9657.818810149573
"(1, 1, 1)","(3, 3, 1, 4)",2.2054908734476384,-7999.714705774111
"(1, 1, 1)","(3, 3, 2, 4)",2.594978308403901,-8152.688330209409
"(1, 1, 1)","(3, 3, 3, 4)",2.751355926578785,-8155.654670606719
"(1, 1, 1)","(3, 3, 4, 4)",2.5159304381045673,-8137.119241030248
"(1, 1, 1)","(3, 4, 1, 4)",441.65332523335485,-7099.234905002624
"(1, 1, 1)","(3, 4, 2, 4)",26.618737499567896,-7571.326392593478
"(1, 1, 1)","(3, 4, 3, 4)",32.5133691014975,-7538.718493293301
"(1, 1, 1)","(3, 4, 4, 4)",5.930273782960349,-7873.830755193751
"(1, 1, 2)","(0, 1, 1, 4)",0.00973901258090033,-9863.038789966758
"(1, 1, 2)","(0, 1, 2, 4)",0.00958464717375553,-9861.411929628386
"(1, 1, 2)","(0, 1, 3, 4)",0.010206801529368342,-9861.191951263574
"(1, 1, 2)","(0, 1, 4, 4)",0.013021530645518717,-9859.205616306364
"(1, 1, 2)","(0, 2, 1, 4)",0.02292926500785335,-8620.839148400779
"(1, 1, 2)","(0, 2, 2, 4)",0.015613586320173284,-9770.293047841269
"(1, 1, 2)","(0, 2, 3, 4)",0.015456551321085674,-9769.621325240907
"(1, 1, 2)","(0, 2, 4, 4)",0.01550319576604639,-9768.979718595647
"(1, 1, 2)","(0, 3, 1, 4)",1.416876506921291,-7307.514922516258
"(1, 1, 2)","(0, 3, 2, 4)",0.38768750123535406,-8613.127181331356
"(1, 1, 2)","(0, 3, 3, 4)",0.3320806118233398,-8592.794306372118
"(1, 1, 2)","(0, 3, 4, 4)",0.3497417272131985,-8753.647539841051
