epoch,step,train_loss_epoch,train_loss_step,val_loss
0,25,,,65.65208435058594
0,25,33.28608703613281,,
1,49,,31.395660400390625,
1,51,,,65.2915267944336
1,51,33.060325622558594,,
2,77,,,64.92435455322266
2,77,32.880069732666016,,
3,99,,29.901548385620117,
3,103,,,64.54875183105469
3,103,32.70224380493164,,
4,129,,,64.16299438476562
4,129,32.44921112060547,,
5,149,,30.08431625366211,
5,155,,,63.75701141357422
5,155,32.20756149291992,,
6,181,,,63.32450485229492
6,181,31.983186721801758,,
7,199,,33.17854690551758,
7,207,,,62.87293243408203
7,207,31.768747329711914,,
8,233,,,62.38323211669922
8,233,31.49163818359375,,
9,249,,25.90327262878418,
9,259,,,61.85057067871094
9,259,31.190153121948242,,
10,285,,,61.27481460571289
10,285,30.90140151977539,,
11,299,,27.797224044799805,
11,311,,,60.63851547241211
11,311,30.55784034729004,,
12,337,,,59.94627380371094
12,337,30.214603424072266,,
13,349,,30.236392974853516,
13,363,,,59.17026901245117
13,363,29.79657554626465,,
14,389,,,58.31342315673828
14,389,29.325857162475586,,
15,399,,29.026453018188477,
15,415,,,57.36663055419922
15,415,28.800121307373047,,
16,441,,,56.305870056152344
16,441,28.248411178588867,,
17,449,,26.874502182006836,
17,467,,,55.146549224853516
17,467,27.598451614379883,,
18,493,,,53.85624694824219
18,493,26.917747497558594,,
19,499,,22.28814125061035,
19,519,,,52.45060348510742
19,519,26.117416381835938,,
20,545,,,50.92844772338867
20,545,25.280990600585938,,
21,549,,22.442764282226562,
21,571,,,49.313560485839844
21,571,24.29778480529785,,
22,597,,,47.603031158447266
22,597,23.204853057861328,,
23,599,,27.26639175415039,
23,623,,,45.87083053588867
23,623,22.177919387817383,,
24,649,,18.55411148071289,
24,649,,,44.161827087402344
24,649,21.050662994384766,,
25,675,,,42.50602722167969
25,675,19.87400245666504,,
26,699,,19.883134841918945,
26,701,,,40.93629837036133
26,701,18.85411834716797,,
27,727,,,39.457149505615234
27,727,17.8372859954834,,
28,749,,19.019073486328125,
28,753,,,38.095069885253906
28,753,16.729398727416992,,
29,779,,,36.837303161621094
29,779,15.91346549987793,,
30,799,,11.774006843566895,
30,805,,,35.68243408203125
30,805,15.209529876708984,,
31,831,,,34.608699798583984
31,831,14.36583423614502,,
32,849,,12.831008911132812,
32,857,,,33.617820739746094
32,857,13.746367454528809,,
33,883,,,32.71037292480469
33,883,13.13489055633545,,
34,899,,11.639328002929688,
34,909,,,31.866943359375
34,909,12.654497146606445,,
35,935,,,31.089866638183594
35,935,12.17061710357666,,
36,949,,10.985363006591797,
36,961,,,30.371929168701172
36,961,11.60802173614502,,
37,987,,,29.711467742919922
37,987,11.057501792907715,,
38,999,,11.491448402404785,
38,1013,,,29.089792251586914
38,1013,10.8029146194458,,
39,1039,,,28.516719818115234
39,1039,10.44792652130127,,
40,1049,,11.257664680480957,
40,1065,,,27.978443145751953
40,1065,10.029717445373535,,
41,1091,,,27.479747772216797
41,1091,9.864949226379395,,
42,1099,,7.790473937988281,
42,1117,,,27.004961013793945
42,1117,9.516899108886719,,
43,1143,,,26.562946319580078
43,1143,9.182636260986328,,
44,1149,,8.796671867370605,
44,1169,,,26.139854431152344
44,1169,9.056890487670898,,
45,1195,,,25.743051528930664
45,1195,8.806153297424316,,
46,1199,,9.367798805236816,
46,1221,,,25.36093521118164
46,1221,8.604722023010254,,
47,1247,,,24.993640899658203
47,1247,8.361776351928711,,
48,1249,,10.74338150024414,
