epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,30.615707397460938,
0,99,,14.7579927444458,
0,149,,6.4847564697265625,
0,193,,,18.061260223388672
0,193,16.958364486694336,,
1,199,,4.762994766235352,
1,249,,3.3368191719055176,
1,299,,3.019577741622925,
1,349,,2.610532283782959,
1,387,,,10.615411758422852
1,387,3.2715089321136475,,
2,399,,2.3066208362579346,
2,449,,2.04115629196167,
2,499,,2.352189064025879,
2,549,,1.916069746017456,
2,581,,,7.950247287750244
2,581,2.1397287845611572,,
3,599,,2.2359654903411865,
3,649,,1.9246411323547363,
3,699,,2.018979549407959,
3,749,,1.8794844150543213,
3,775,,,6.877742290496826
3,775,1.9275386333465576,,
4,799,,1.9545315504074097,
4,849,,1.8786885738372803,
4,899,,1.862351417541504,
4,949,,1.7209086418151855,
4,969,,,6.675135135650635
4,969,1.8928028345108032,,
5,999,,1.990390419960022,
5,1049,,1.4011017084121704,
5,1099,,1.3927643299102783,
5,1149,,1.0301251411437988,
5,1163,,,5.22864294052124
5,1163,1.4761637449264526,,
6,1199,,0.6003747582435608,
6,1249,,0.5628072023391724,
6,1299,,0.362474650144577,
6,1349,,0.262225478887558,
6,1357,,,2.8291046619415283
6,1357,0.4703235626220703,,
7,1399,,0.20786070823669434,
7,1449,,0.13354168832302094,
7,1499,,0.14487548172473907,
7,1549,,0.08050353825092316,
7,1551,,,1.7184253931045532
7,1551,0.17563045024871826,,
8,1599,,0.062086232006549835,
8,1649,,0.0785229280591011,
8,1699,,0.08164425939321518,
8,1745,,,1.166489839553833
8,1745,0.07457532733678818,,
9,1749,,0.046133577823638916,
9,1799,,0.04227975755929947,
9,1849,,0.037301987409591675,
9,1899,,0.04345047473907471,
9,1939,,,0.8621403574943542
9,1939,0.03853622451424599,,
10,1949,,0.024152854457497597,
10,1999,,0.014560298062860966,
10,2049,,0.03593718260526657,
10,2099,,0.01805482618510723,
10,2133,,,0.6696645021438599
10,2133,0.023605870082974434,,
11,2149,,0.014185051433742046,
11,2199,,0.00961236096918583,
