epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,32.59080505371094,
0,99,,30.21335220336914,
0,149,,30.09296417236328,
0,193,,,61.56807327270508
0,193,31.379825592041016,,
1,199,,30.128082275390625,
1,249,,28.879863739013672,
1,299,,28.36918067932129,
1,349,,28.5883846282959,
1,387,,,56.70172882080078
1,387,29.408687591552734,,
2,399,,29.13202476501465,
2,449,,26.661592483520508,
2,499,,25.24831199645996,
2,549,,22.14059829711914,
2,581,,,45.39992141723633
2,581,24.982826232910156,,
3,599,,19.33612060546875,
3,649,,19.486682891845703,
3,699,,16.071044921875,
3,749,,13.156768798828125,
3,775,,,34.01216506958008
3,775,16.5893611907959,,
4,799,,11.676423072814941,
4,849,,11.6998929977417,
4,899,,10.83737564086914,
4,949,,8.739187240600586,
4,969,,,27.881072998046875
4,969,11.132445335388184,,
5,999,,8.542950630187988,
5,1049,,9.175240516662598,
5,1099,,8.207212448120117,
5,1149,,9.278449058532715,
5,1163,,,24.306018829345703
5,1163,8.520973205566406,,
6,1199,,8.73360824584961,
6,1249,,6.996836185455322,
6,1299,,6.102795124053955,
6,1349,,7.351025581359863,
6,1357,,,21.866527557373047
6,1357,7.05637264251709,,
7,1399,,6.429800987243652,
7,1449,,6.0693559646606445,
7,1499,,6.575049877166748,
7,1549,,6.51631498336792,
7,1551,,,19.903003692626953
7,1551,6.044310092926025,,
8,1599,,5.2448835372924805,
8,1649,,4.996609687805176,
8,1699,,5.164247035980225,
8,1745,,,18.244585037231445
8,1745,5.250007152557373,,
9,1749,,4.670894145965576,
9,1799,,4.586479187011719,
9,1849,,5.283286094665527,
9,1899,,3.9830801486968994,
9,1939,,,16.915180206298828
9,1939,4.638593673706055,,
10,1949,,5.122461795806885,
10,1999,,5.389227867126465,
10,2049,,3.8839290142059326,
10,2099,,4.357542037963867,
10,2133,,,15.828474044799805
10,2133,4.176218032836914,,
11,2149,,4.092047691345215,
11,2199,,3.805185079574585,
11,2249,,3.865226984024048,
11,2299,,3.8204658031463623,
11,2327,,,14.904004096984863
11,2327,3.8129799365997314,,
12,2349,,4.080728054046631,
12,2399,,3.7613725662231445,
12,2449,,4.046520233154297,
12,2499,,3.2273788452148438,
12,2521,,,14.098481178283691
12,2521,3.516913414001465,,
13,2549,,2.9077298641204834,
13,2599,,3.2125120162963867,
13,2649,,3.002621650695801,
13,2699,,3.356745719909668,
13,2715,,,13.371975898742676
13,2715,3.2683441638946533,,
14,2749,,2.579399585723877,
14,2799,,3.477267265319824,
14,2849,,3.3610265254974365,
14,2899,,2.5464794635772705,
14,2909,,,12.692009925842285
14,2909,3.053053617477417,,
15,2949,,2.7110466957092285,
15,2999,,2.5129520893096924,
15,3049,,3.0210154056549072,
15,3099,,2.5392403602600098,
15,3103,,,12.035492897033691
15,3103,2.859989881515503,,
16,3149,,2.762075185775757,
16,3199,,2.6043529510498047,
16,3249,,2.224747657775879,
16,3297,,,11.419099807739258
16,3297,2.6872875690460205,,
17,3299,,2.6082372665405273,
17,3349,,2.77191162109375,
17,3399,,2.339946746826172,
17,3449,,2.3381433486938477,
17,3491,,,10.867859840393066
17,3491,2.5408871173858643,,
18,3499,,2.696016788482666,
18,3549,,2.6123626232147217,
18,3599,,2.669656276702881,
18,3649,,2.298982858657837,
18,3685,,,10.37407398223877
18,3685,2.419994831085205,,
19,3699,,2.055586338043213,
19,3749,,2.4240336418151855,
19,3799,,2.547002077102661,
19,3849,,2.034515142440796,
19,3879,,,9.926776885986328
19,3879,2.319483518600464,,
20,3899,,2.067222833633423,
20,3949,,2.3646597862243652,
20,3999,,2.3963639736175537,
20,4049,,2.098891258239746,
20,4073,,,9.516450881958008
20,4073,2.2352452278137207,,
21,4099,,2.383035182952881,
21,4149,,1.975861668586731,
21,4199,,2.1571853160858154,
21,4249,,2.072352886199951,
21,4267,,,9.139833450317383
21,4267,2.1647307872772217,,
22,4299,,2.235041618347168,
22,4349,,1.9947049617767334,
22,4399,,1.8460732698440552,
22,4449,,1.8266820907592773,
22,4461,,,8.794137954711914
22,4461,2.1057205200195312,,
23,4499,,1.8808494806289673,
23,4549,,2.114210844039917,
23,4599,,2.3203842639923096,
23,4649,,2.1538569927215576,
23,4655,,,8.47769832611084
23,4655,2.0568368434906006,,
24,4699,,2.129319667816162,
24,4749,,2.005892515182495,
24,4799,,2.096034288406372,
24,4849,,1.785372018814087,
24,4849,,,8.188169479370117
24,4849,2.016690254211426,,
25,4899,,2.109750270843506,
25,4949,,1.838712215423584,
25,4999,,2.237367868423462,
25,5043,,,7.92628812789917
25,5043,1.9839322566986084,,
26,5049,,1.9075515270233154,
26,5099,,2.268120527267456,
26,5149,,2.0182886123657227,
26,5199,,1.8465843200683594,
26,5237,,,7.6888604164123535
26,5237,1.9569734334945679,,
27,5249,,1.913149118423462,
27,5299,,2.011603593826294,
27,5349,,2.129396915435791,
27,5399,,1.5210850238800049,
27,5431,,,7.432509899139404
27,5431,1.830301284790039,,
28,5449,,1.4481838941574097,
28,5499,,1.3526341915130615,
28,5549,,1.0499755144119263,
28,5599,,1.4125834703445435,
28,5625,,,6.884758949279785
28,5625,1.327711820602417,,
29,5649,,1.119663953781128,
29,5699,,1.02094304561615,
29,5749,,1.4335222244262695,
29,5799,,1.0191906690597534,
29,5819,,,6.326484680175781
29,5819,1.0763609409332275,,
30,5849,,1.1257249116897583,
30,5899,,1.067030429840088,
30,5949,,0.7874180674552917,
30,5999,,0.8228141069412231,
30,6013,,,5.829161643981934
30,6013,0.9405068755149841,,
31,6049,,0.9417582750320435,
31,6099,,0.7357752323150635,
31,6149,,0.7369419932365417,
31,6199,,0.7957007884979248,
31,6207,,,5.379543781280518
31,6207,0.8220080733299255,,
32,6249,,0.8574435114860535,
32,6299,,0.7912800312042236,
32,6349,,0.784487783908844,
32,6399,,0.716894805431366,
32,6401,,,4.971264362335205
32,6401,0.7241942882537842,,
33,6449,,0.6323588490486145,
33,6499,,0.6689631342887878,
33,6549,,0.5846238732337952,
33,6595,,,4.6026129722595215
33,6595,0.6398811936378479,,
34,6599,,0.6734564304351807,
34,6649,,0.4879049062728882,
34,6699,,0.632611095905304,
34,6749,,0.6594799757003784,
34,6789,,,4.2619194984436035
34,6789,0.5655315518379211,,
35,6799,,0.5824189186096191,
35,6849,,0.4843294024467468,
35,6899,,0.4993016719818115,
35,6949,,0.5559149384498596,
35,6983,,,3.9483606815338135
35,6983,0.4996744394302368,,
36,6999,,0.4199155569076538,
36,7049,,0.45254120230674744,
36,7099,,0.3091488480567932,
36,7149,,0.42276960611343384,
36,7177,,,3.657217264175415
36,7177,0.44059211015701294,,
