epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,29.7825870513916,
0,99,,13.366044044494629,
0,149,,6.726778984069824,
0,190,,,17.5439395904541
0,190,17.515869140625,,
1,199,,4.408062934875488,
1,249,,2.8969640731811523,
1,299,,2.6618337631225586,
1,349,,2.564147472381592,
1,381,,,10.045051574707031
1,381,2.901503086090088,,
2,399,,1.990125298500061,
2,449,,2.034431219100952,
2,499,,1.7988322973251343,
2,549,,1.8733333349227905,
2,572,,,7.799924850463867
2,572,1.98633873462677,,
3,599,,1.526863932609558,
3,649,,1.8640414476394653,
3,699,,1.8262437582015991,
3,749,,1.4506738185882568,
3,763,,,6.673368453979492
3,763,1.7323527336120605,,
4,799,,1.0529370307922363,
4,849,,0.9628490209579468,
4,899,,0.6777316331863403,
4,949,,0.6036311984062195,
4,954,,,4.528773784637451
4,954,0.9215666651725769,,
5,999,,0.28872042894363403,
5,1049,,0.3091951310634613,
5,1099,,0.2199087142944336,
5,1145,,,2.8024253845214844
5,1145,0.3696262240409851,,
6,1149,,0.2108541876077652,
6,1199,,0.25712957978248596,
6,1249,,0.14693094789981842,
6,1299,,0.08666052669286728,
6,1336,,,1.8453121185302734
6,1336,0.1535894274711609,,
7,1349,,0.08068932592868805,
7,1399,,0.0999029129743576,
7,1449,,0.05669327825307846,
7,1499,,0.043461743742227554,
7,1527,,,1.3325762748718262
7,1527,0.07156244665384293,,
8,1549,,0.03510129079222679,
8,1599,,0.04615379124879837,
8,1649,,0.023613180965185165,
8,1699,,0.028557127341628075,
8,1718,,,1.0330820083618164
8,1718,0.04018751531839371,,
9,1749,,0.020782412961125374,
9,1799,,0.029518762603402138,
9,1849,,0.02261655032634735,
9,1899,,0.017113855108618736,
9,1909,,,0.8291265964508057
9,1909,0.025347910821437836,,
10,1949,,0.015316561795771122,
10,1999,,0.02262573316693306,
10,2049,,0.011054985225200653,
10,2099,,0.01561729609966278,
10,2100,,,0.6790530681610107
10,2100,0.017562774941325188,,
11,2149,,0.01980404369533062,
11,2199,,0.01666831038892269,
11,2249,,0.010110598057508469,
11,2291,,,0.5621926784515381
11,2291,0.012307001277804375,,
12,2299,,0.01337504107505083,
